,EW,GMV,GMV Long Only,GMV Linear Shrinkage,GMV Nonlinear Shrinkage,GMV Robust
2022-01-31,0.0,0.22724332266832753,0.015208365145800505,0.12879744635999013,0.19344812823603857,0.1472140456880353
2022-03-02,0.0,0.4608460530419697,0.012746246065659711,0.20661238164327156,0.3954738475192708,0.08462535144795147
2022-03-31,0.0,1.8204001528287554,0.22019825280051186,1.22117299230399,1.6360946417292386,0.4991546335368181
2022-05-02,0.0,0.7405415025463838,0.10958297170723016,0.3905533151917877,0.6406376863167192,0.2908630065207633
2022-05-31,0.0,0.8278641600416113,0.06125009203394469,0.4369510181340889,0.6775544031318548,0.47856880320463463
2022-06-30,0.0,0.4385044895367102,0.03740578967697816,0.16545417626010575,0.3736981108354449,0.6463833285861001
2022-08-01,0.0,0.39169844715094576,0.01631496610173772,0.24094327525082,0.33066778374762634,0.5142588547198905
2022-08-31,0.0,0.4074417958604678,0.018761592538984757,0.17334431303531617,0.3317507424070452,0.3572617899152909
2022-09-30,0.0,0.4482011520397753,0.01629891661427877,0.21754089070661142,0.37868872486978084,0.39290463761659533
2022-10-31,0.0,0.43097632092933724,0.017764411222598406,0.2628124107404914,0.3592833839612984,0.149515038931704
2022-11-30,0.0,0.5860171075990033,0.029931880104746275,0.340761081740159,0.4916356955570397,0.17965611896039552
2023-01-02,0.0,0.534199377407718,0.023440365055196213,0.1857494194478225,0.44530210740257314,0.1521032114554745
2023-01-31,0.0,0.4319359928195711,0.01620589329612605,0.19544943105409643,0.36324087666366206,0.7136754298181281
2023-02-28,0.0,0.46110898481282714,0.015588138446613475,0.22424462889028604,0.3843508578965142,0.38938023984366477
2023-03-31,0.0,0.5464384493471017,0.022432487047410382,0.37835706443731143,0.45620109805966486,0.34474196451767386
2023-05-02,0.0,0.35709155361517514,0.01580296778065904,0.24042270946090968,0.2905127787207344,0.34837957737409997
2023-05-31,0.0,0.26493030164879455,0.016319021228754248,0.16313425723734348,0.2218091357928904,0.41243143888223677
2023-06-30,0.0,0.44098440509783604,0.015290254055663848,0.5660026919167087,0.3641766973941807,0.5895097839039277
2023-07-31,0.0,0.36348534944609534,0.006147044692943813,0.26099389796738054,0.30402381121063043,0.5209348265287264
2023-08-31,0.0,0.33582400140327273,0.010541122526850622,0.2655011646522855,0.2857310095993984,0.3220234310548437
2023-10-02,0.0,0.6281885783052059,0.016408659781999884,0.42836984914384435,0.5351007333589817,0.3091041819782056
2023-10-31,0.0,0.3115823931109043,0.016590996145608477,0.2360439700642341,0.26463744822038526,0.18056033228103868
2023-11-30,0.0,0.4463477284233606,0.013939437701550154,0.3218253683499422,0.3703922136172336,0.21820360359106455
2024-01-02,0.0,0.4174888838545386,0.01123479098381934,0.26933709524025623,0.3531677726025261,0.1549365785128734
2024-01-31,0.0,0.2969309888496306,0.015371759759599611,0.23667116733316407,0.25073825364722824,0.29784478505036543
2024-02-29,0.0,0.4405629474449893,0.00887730674043686,0.2701772196354741,0.3691493970578959,0.307679976699591
2024-04-01,0.0,0.41312512220704045,0.014403742968868694,0.2776833471142434,0.3448836648866368,0.28525996910704265
2024-04-30,0.0,0.2768750211641007,0.008756869480313154,0.2071428503649652,0.2341234134664647,0.24289782546407168
2024-05-31,0.0,0.70000667609628,0.014406325335667085,0.4678993533064122,0.5878142126228398,0.37054253207300525
2024-07-01,0.0,0.3280656386176876,0.013161405095168206,0.24668184748440974,0.28340091706251525,0.2982280996148645
2024-07-31,0.0,0.3095734408106592,0.008637089974664794,0.2445145054735011,0.26395536915859213,0.1999373219803742
2024-09-02,0.0,0.3554128196490202,0.013786123178007134,0.28631112820568566,0.30662798018982956,0.3330490529766452
2024-09-30,0.0,0.39593811201181295,0.009859419036577844,0.27359230034644144,0.3370662354885055,0.13165302635040954
2024-10-31,0.0,0.6002899776679306,0.022568617912893663,0.4545224706246836,0.5128280053383528,0.3499136079278261
2024-12-02,0.0,0.8006680204321909,0.021742892258755392,0.5592081265552084,0.6975163862897183,0.19084395192047104
2025-01-02,0.0,0.5693063445537093,0.017284113789311717,0.41718309138797055,0.48931269339501576,0.3574098005268036
